Date,Location,Maize_Yellow,Rice_Local,Rice_Imported,Millet,Sorghum,Maize_White
15/07/2017,Techiman,152.084,100,212,176.47,168.95,103
15/08/2017,Techiman,162.614,115,218,182.75,167.32,130
15/09/2017,Techiman,157.768,103,204,199.28,169.74,112.82
15/10/2017,Techiman,161.17754,132.22,215,189.21,177.15,92.3077
15/11/2017,Techiman,170.69,131.78,255,198.09,176.58,92
15/12/2017,Techiman,163.226,109,216.5,218.78,179.85,92
15/01/2018,Techiman,168.592,111.5,216.5,238.08,184.88,92
15/02/2018,Techiman,171.61292,118,216.5,222.74,185.44,115.3846
15/03/2018,Techiman,169.884,115,216.5,217.62,185.3,115
15/04/2018,Techiman,184.38,115,264.8,231.37,195.73,115
15/05/2018,Techiman,178.966,115,203.5,235.16,203.17,138
15/06/2018,Techiman,172.548,115,203.5,204.02,201.85,138.37
15/07/2018,Techiman,174.50724,150,207,186.93,174.76,153.8462
15/08/2018,Techiman,181.12124,140.5,272,179.68,159.58,153.8462
15/09/2018,Techiman,156.57062,135.5,211,179.13,160.3,96.9231
15/10/2018,Techiman,164.48578,152.5643,209,179.8,165.68,115.3846
15/11/2018,Techiman,187.74688,159.1544,304,180.41,180.17,115
15/12/2018,Techiman,164.338,144,214,180.39,175.3,108
15/01/2019,Techiman,167.264,140,216,182.57,189.75,108
15/02/2019,Techiman,187.02,124.5,316,179.78,199.82,115
15/03/2019,Techiman,164.041,125,222,152.74,189.465,131
15/04/2019,Techiman,164.08884,124,226,157.17,182.505,130.7692
15/05/2019,Techiman,166.74584,135.91,228,158.58,180.47,130.7692
15/06/2019,Techiman,146.88822,104.3519,187.065,143.425,168.83,130.7692
15/07/2019,Techiman,155.01734,125.9898,223.76,141.675,160.585,123.0769
15/08/2019,Techiman,123.08,120.5026,173.675,170.515,163.24,115.3823
15/09/2019,Techiman,69.23,133.5804,173.27,173.93,164.62,61.5393
15/10/2019,Techiman,69.23,142.0213,168.715,175.205,169.35,61.54
15/11/2019,Techiman,102.56,140.6758,178.665,158.505,160.68,76.9216
15/12/2019,Techiman,100,138.2716,300,168.76,160.95,76.9216
15/01/2020,Techiman,103.08,144.0493,193.685,166.855,208.315,92.3089
15/02/2020,Techiman,115.38,132.6651,334.5,171.66,160.33,99.9989
15/03/2020,Techiman,107.69,121.5551,345,214.74,198.97,100
15/04/2020,Techiman,104,139.6871,278,268.77,199.47,107.845
15/05/2020,Techiman,107.69,123.765,352,290.73,250.73,107.69
15/06/2020,Techiman,115.005,127.775,356,290.73,250.73,108.5
15/07/2020,Techiman,115.38,124.095,402,254.82,238.71,107.69
15/08/2020,Techiman,138.46,127.78,161.99,291.09,238.71,115.38
15/09/2020,Techiman,103,148.4,195.17,260.04,237.9,95
15/10/2020,Techiman,115.38,148.5,162,291.09,246.34,107.69
15/11/2020,Techiman,138.46,200,302,291.09,255.06,130.77
15/12/2020,Techiman,185,216.67,300,197.3566667,197.34,177
15/01/2021,Techiman,162,216.5,302,181.3,181.3,154
15/02/2021,Techiman,159.62,162,302,160.05,160.05,153.85
15/03/2021,Techiman,177,162.31,,168.1033333,168.1,169
15/04/2021,Techiman,185,162,,171.878,171.87,185
