Date,Location,Maize_Yellow,Rice_Local,Rice_Imported,Millet,Sorghum,Maize_White
15/07/2017,Kumasi,222.67,216,210,253.58,233.77,200
15/08/2017,Kumasi,224.022,212.22,251.67,255.23,233.77,167.22
15/09/2017,Kumasi,214.504,199.44,260,227.31,233.77,152
15/10/2017,Kumasi,223.17466,163.5,282.08,270.28,246.68,153.3333
15/11/2017,Kumasi,241.424,205,360,287.09,245.03,110
15/12/2017,Kumasi,186.888,150,180,258.36,230.08,116
15/01/2018,Kumasi,204.39,150,270,255.86,230.08,116.01
15/02/2018,Kumasi,200.0074,181.597,180,258.36,230.08,150
15/03/2018,Kumasi,198.92874,181.597,180,244.8,230.08,158.1667
15/04/2018,Kumasi,223.99796,181.1636,263.3333,244.8,283.13,147.5629
15/05/2018,Kumasi,216.454,153.45,253.33,244.8,283.13,147.56
15/06/2018,Kumasi,209.046,153.45,253.33,208.07,283.13,147.25
15/07/2018,Kumasi,209.046,153.45,253.33,208.07,283.13,147.25
15/08/2018,Kumasi,208.564,153.45,253.33,205.35,283.13,147.56
15/09/2018,Kumasi,218.354,183.13,253.33,206.03,232.91,216.37
15/10/2018,Kumasi,218.2654,174.1379,253.3333,206.03,241.46,216.3658
15/11/2018,Kumasi,207.82556,111.9345,263.3333,206.03,241.46,216.37
15/12/2018,Kumasi,203.44138,130.4841,263.3333,206.03,241.46,175.8995
15/01/2019,Kumasi,221.386,186.24,253.33,206.03,241.46,219.87
15/02/2019,Kumasi,180.91562,123.3333,196.6667,206.03,241.46,137.0881
15/03/2019,Kumasi,206.8231,191.6667,260,206.03,241.46,134.9588
15/04/2019,Kumasi,206.8231,191.6667,260,206.03,241.46,134.9588
15/05/2019,Kumasi,211.46012,191.6667,260,206.03,241.46,158.1439
15/06/2019,Kumasi,211.46012,191.6667,260,206.03,241.46,158.1439
15/07/2019,Kumasi,230.16496,191.6667,260,269.17,241.46,188.5281
15/08/2019,Kumasi,197.22,207.2134,225.835,301.295,317.56,235.8721
15/09/2019,Kumasi,191.63,207.2134,225.835,257.895,337.795,189.5713
15/10/2019,Kumasi,191.63,222.76,259.17,275.785,291.115,187.9378
15/11/2019,Kumasi,151.36,207.2134,225.835,338.68,319.505,160.5488
15/12/2019,Kumasi,151.36,207.2134,225.835,338.68,399.25,160.5488
15/01/2020,Kumasi,160.33,192.9751,193.395,338.68,399.25,159.471
15/02/2020,Kumasi,231.54,186.5551,285.0017,338.68,399.25,206.815
15/03/2020,Kumasi,240.38,179.5701,190.645,338.68,399.25,196.0905
15/04/2020,Kumasi,229.61,213.13,270.4,362.87,399.25,211.18
15/05/2020,Kumasi,212.25,196.62,356.67,362.87,399.25,194.81
15/06/2020,Kumasi,217.075,205.455,356.67,363.91,399.25,194.81
15/07/2020,Kumasi,231.54,211.82,356.67,363.91,399.25,214.29
15/08/2020,Kumasi,192.95,211.82,453.33,363.91,399.25,193.55
15/09/2020,Kumasi,189.28,211.82,453.33,363.91,399.25,157.23
15/10/2020,Kumasi,199.4,268.09,211.82,363.91,400.41,181.89
15/12/2020,Kumasi,289.43,230,203.13,388.17,400.41,192.93
15/01/2021,Kumasi,321.64,203.13,203.33,254.375,427.77,289.4
15/02/2021,Kumasi,324.91,203.13,203.33,260.2625,260.2625,292.68
15/03/2021,Kumasi,315.29,203.13,206.67,252.3875,252.3875,284.46
15/04/2021,Kumasi,313.3,203.13,206.67,255.08,255.08,297.22
15/05/2021,Kumasi,313.3,203.13,206.67,271.2166667,204.9,297.22
15/06/2021,Kumasi,409.1,250,206.67,348.32,228.335,385.86
15/01/2010,Obuasi,59,40,59,59,59,78
15/02/2010,Obuasi,64.4375,48.875,64.4375,64.4375,64.4375,80
15/03/2010,Obuasi,54.375,40,54.375,54.375,54.375,68.75
15/04/2010,Obuasi,55,40,55,55,55,70
15/05/2010,Obuasi,55.2,40,55.2,55.2,55.2,70.4
15/06/2010,Obuasi,57.6875,44.375,57.6875,57.6875,57.6875,71
15/07/2010,Obuasi,55,40,55,55,55,70
15/08/2010,Obuasi,53,40,53,53,53,66
15/09/2010,Obuasi,50.625,40,50.625,50.625,50.625,61.25
15/10/2010,Obuasi,46.2,40,46.2,46.2,46.2,52.4
15/11/2010,Obuasi,53.75,45,53.75,53.75,53.75,62.5
15/01/2011,Obuasi,58.66665,46.3333,58.66665,58.66665,58.66665,71
15/02/2011,Obuasi,47.6,36,47.6,47.6,47.6,59.2
15/03/2011,Obuasi,57.5,45,57.5,57.5,57.5,70
15/04/2011,Obuasi,58.75,45,58.75,58.75,58.75,72.5
15/05/2011,Obuasi,62.5,45,62.5,62.5,62.5,80
15/06/2011,Obuasi,74,48,74,74,74,100
15/07/2011,Obuasi,73,48,73,73,73,98
15/08/2011,Obuasi,73.83335,47.6667,73.83335,73.83335,73.83335,100
15/09/2011,Obuasi,70,47.5,70,70,70,92.5
15/10/2011,Obuasi,74.5625,64.125,74.5625,74.5625,74.5625,85
15/11/2011,Obuasi,74.625,56.25,74.625,74.625,74.625,93
15/12/2011,Obuasi,88.8,49.6,88.8,88.8,88.8,128
15/01/2012,Obuasi,90,50,90,90,90,130
15/02/2012,Obuasi,89,48,89,89,89,130
15/03/2012,Obuasi,88.7,47.4,88.7,88.7,88.7,130
15/04/2012,Obuasi,89,48,89,89,89,130
15/05/2012,Obuasi,97.5,60,97.5,97.5,97.5,135
15/06/2012,Obuasi,100,60,100,100,100,140
15/07/2012,Obuasi,97.5,60,97.5,97.5,97.5,135
15/08/2012,Obuasi,90,60,90,90,90,120
15/09/2012,Obuasi,74.75,52,74.75,74.75,74.75,97.5
15/10/2012,Obuasi,75,50,75,75,75,100
15/11/2012,Obuasi,75,50,75,75,75,100
15/12/2012,Obuasi,71,50,71,71,71,92
15/01/2013,Obuasi,70,50,70,70,70,90
15/02/2013,Obuasi,70,50,70,70,70,90
15/03/2013,Obuasi,70,50,70,70,70,90
15/04/2013,Obuasi,73,56,73,73,73,90
15/05/2013,Obuasi,75,60,75,75,75,90
15/06/2013,Obuasi,75,60,75,75,75,90
15/07/2013,Obuasi,75,60,75,75,75,90
15/08/2013,Obuasi,75,60,75,75,75,90
15/09/2013,Obuasi,72.5,60,72.5,72.5,72.5,85
15/10/2013,Obuasi,75,60,75,75,75,90
15/11/2013,Obuasi,75,60,75,75,75,90
15/12/2013,Obuasi,75.625,61.25,75.625,75.625,75.625,90
15/01/2014,Obuasi,75.5,63,75.5,75.5,75.5,88
15/02/2014,Obuasi,83.75,65,83.75,83.75,83.75,102.5
15/03/2014,Obuasi,80.5,65,80.5,80.5,80.5,96
15/04/2014,Obuasi,87.5,65,87.5,87.5,87.5,110
15/05/2014,Obuasi,99.2,72.4,99.2,99.2,99.2,126
15/06/2014,Obuasi,133.75,130,133.75,133.75,133.75,137.5
15/07/2014,Obuasi,133.75,130,133.75,133.75,133.75,137.5
15/08/2014,Obuasi,146.25,140,146.25,146.25,146.25,152.5
15/09/2014,Obuasi,147.5,140,147.5,147.5,147.5,155
15/10/2014,Obuasi,147.5,140,147.5,147.5,147.5,155
15/11/2014,Obuasi,145,140,145,145,145,150
15/12/2014,Obuasi,125,140,125,125,125,110
15/01/2015,Obuasi,100,90,100,100,100,110
15/02/2015,Obuasi,100,90,100,100,100,110
15/03/2015,Obuasi,100,90,100,100,100,110
15/04/2015,Obuasi,100,90,100,100,100,110
15/05/2015,Obuasi,126,90,126,126,126,162
15/06/2015,Obuasi,141.25,90,141.25,141.25,141.25,192.5
15/07/2015,Obuasi,168.75,152.5,168.75,168.75,168.75,185
15/10/2015,Obuasi,174,180,174,174,174,168
15/11/2015,Obuasi,176.25,180,176.25,176.25,176.25,172.5
15/12/2015,Obuasi,175,180,175,175,175,170
15/01/2016,Obuasi,175,180,175,175,175,170
15/02/2016,Obuasi,180,180,180,180,180,180
15/03/2016,Obuasi,185,190,185,185,185,180
15/04/2016,Obuasi,181,182,181,181,181,180
15/05/2016,Obuasi,192.5,195,192.5,192.5,192.5,190
15/06/2016,Obuasi,189,210,189,189,189,168
15/07/2016,Obuasi,204,220,204,204,204,188
15/08/2016,Obuasi,166,188,166,166,166,144
15/09/2016,Obuasi,155,180,155,155,155,130
15/11/2016,Obuasi,170,200,170,170,170,140
15/12/2016,Obuasi,170,200,170,170,170,140
15/01/2017,Obuasi,170,200,170,170,170,140
15/02/2017,Obuasi,180,200,180,180,180,160
15/03/2017,Obuasi,180,200,180,180,180,160
15/04/2017,Obuasi,190,200,190,190,190,180
15/05/2017,Obuasi,190,200,190,190,190,180
15/06/2017,Obuasi,200,200,200,200,200,200
15/07/2017,Obuasi,200,200,200,200,200,200
15/01/2010,Ejura,48.5,61,48.5,48.5,48.5,36
15/02/2010,Ejura,46.25,57.5,46.25,46.25,46.25,35
15/03/2010,Ejura,46.25,60,46.25,46.25,46.25,32.5
15/04/2010,Ejura,47.25,55.5,47.25,47.25,47.25,39
15/05/2010,Ejura,51,60,51,51,51,42
15/06/2010,Ejura,49.5,60,49.5,49.5,49.5,39
15/07/2010,Ejura,49.5,60,49.5,49.5,49.5,39
15/08/2010,Ejura,55.375,60,55.375,55.375,55.375,50.75
15/09/2010,Ejura,46.875,48.75,46.875,46.875,46.875,45
15/10/2010,Ejura,46.5,45,46.5,46.5,46.5,48
15/11/2010,Ejura,47.25,45,47.25,47.25,47.25,49.5
15/01/2011,Ejura,41.9,45,41.9,41.9,41.9,38.8
15/02/2011,Ejura,38.525,46.25,38.525,38.525,38.525,30.8
15/03/2011,Ejura,42.75,47.5,42.75,42.75,42.75,38
15/04/2011,Ejura,44.625,41.25,44.625,44.625,44.625,48
15/05/2011,Ejura,49,40,49,49,49,58
15/06/2011,Ejura,53.375,45,53.375,53.375,53.375,61.75
15/07/2011,Ejura,55,45,55,55,55,65
15/08/2011,Ejura,60,60,60,60,60,60
15/09/2011,Ejura,56.125,66.25,56.125,56.125,56.125,46
15/10/2011,Ejura,58.75,63,58.75,58.75,58.75,54.5
15/11/2011,Ejura,67.75,62.25,67.75,67.75,67.75,73.25
15/12/2011,Ejura,55.98335,37.1667,55.98335,55.98335,55.98335,74.8
15/01/2012,Ejura,58.05,32.6,58.05,58.05,58.05,83.5
15/02/2012,Ejura,53.75,43.75,53.75,53.75,53.75,63.75
15/03/2012,Ejura,54.9,45,54.9,54.9,54.9,64.8
15/04/2012,Ejura,59,45,59,59,59,73
15/05/2012,Ejura,71.5,55,71.5,71.5,71.5,88
15/06/2012,Ejura,74,55,74,74,74,93
15/07/2012,Ejura,72.95835,62.6667,72.95835,72.95835,72.95835,83.25
15/08/2012,Ejura,54.0625,57.875,54.0625,54.0625,54.0625,50.25
15/09/2012,Ejura,50.625,64,50.625,50.625,50.625,37.25
15/10/2012,Ejura,59.375,65,59.375,59.375,59.375,53.75
15/11/2012,Ejura,52.4,52.8,52.4,52.4,52.4,52
15/12/2012,Ejura,58.1,68,58.1,58.1,58.1,48.2
15/01/2013,Ejura,55.625,58.75,55.625,55.625,55.625,52.5
15/02/2013,Ejura,64.9,75.8,64.9,64.9,64.9,54
15/03/2013,Ejura,61.375,73.5,61.375,61.375,61.375,49.25
15/04/2013,Ejura,66.125,78.25,66.125,66.125,66.125,54
15/05/2013,Ejura,63,73,63,63,63,53
15/06/2013,Ejura,59.25,64.5,59.25,59.25,59.25,54
15/07/2013,Ejura,63.25,72.5,63.25,63.25,63.25,54
15/08/2013,Ejura,77.2,110,77.2,77.2,77.2,44.4
15/09/2013,Ejura,76,110,76,76,76,42
15/10/2013,Ejura,73.5,105,73.5,73.5,73.5,42
15/11/2013,Ejura,71,100,71,71,71,42
15/12/2013,Ejura,58.5,75,58.5,58.5,58.5,42
15/01/2014,Ejura,58.5,75,58.5,58.5,58.5,42
15/02/2014,Ejura,63.75,74.75,63.75,63.75,63.75,52.75
15/03/2014,Ejura,74.25,87.5,74.25,74.25,74.25,61
15/04/2014,Ejura,112.1333333,70,187.5,112.1333333,112.1333333,78.9
15/05/2014,Ejura,118.4,70,194,118.4,118.4,91.2
15/06/2014,Ejura,116.5666667,75,190,116.5666667,116.5666667,84.7
15/07/2014,Ejura,115.6333333,72,190,115.6333333,115.6333333,84.9
15/08/2014,Ejura,123,70,230,123,123,69
15/09/2014,Ejura,128.8333333,87.5,230,128.8333333,128.8333333,69
15/10/2014,Ejura,123,70,230,123,123,69
15/11/2014,Ejura,125.5833333,70,230,125.5833333,125.5833333,76.75
15/12/2014,Ejura,123,70,230,123,123,69
15/01/2015,Ejura,123.8333333,72.5,230,123.8333333,123.8333333,69
15/02/2015,Ejura,146.6666667,60,280,146.6666667,146.6666667,100
15/03/2015,Ejura,154.5833333,71.25,280,154.5833333,154.5833333,112.5
15/04/2015,Ejura,185.6666667,77,350,185.6666667,185.6666667,130
15/05/2015,Ejura,208.6666667,130,350,208.6666667,208.6666667,146
15/06/2015,Ejura,189.1666667,130,280,189.1666667,189.1666667,157.5
15/07/2015,Ejura,203.3333333,130,290,203.3333333,203.3333333,190
15/10/2015,Ejura,190,140,280,190,190,150
15/11/2015,Ejura,190,140,280,190,190,150
15/12/2015,Ejura,169.1666667,140,240,169.1666667,169.1666667,127.5
15/01/2016,Ejura,161.3333333,140,216,161.3333333,161.3333333,128
15/02/2016,Ejura,145.8333333,100,200,145.8333333,145.8333333,137.5
15/03/2016,Ejura,146.6666667,90,200,146.6666667,146.6666667,150
15/04/2016,Ejura,156.6666667,110,200,156.6666667,156.6666667,160
15/05/2016,Ejura,161.6666667,115,200,161.6666667,161.6666667,170
15/06/2016,Ejura,161.6666667,115,200,161.6666667,161.6666667,170
15/07/2016,Ejura,131.5,152.5,80,131.5,131.5,162
15/08/2016,Ejura,133.3333333,160,80,133.3333333,133.3333333,160
15/09/2016,Ejura,190,160,250,190,190,160
15/11/2016,Ejura,161.1111,160,243.3333,161.1111,161.1111,80
15/12/2016,Ejura,190.5555667,225,240,190.5555667,190.5555667,106.6667
15/01/2017,Ejura,203.3333333,260,240,203.3333333,203.3333333,110
15/02/2017,Ejura,198.3333333,255,240,198.3333333,198.3333333,100
15/03/2017,Ejura,178.6666667,180,240,178.6666667,178.6666667,116
15/04/2017,Ejura,220,270,240,220,220,150
15/06/2017,Ejura,206.6666667,300,180,206.6666667,206.6666667,140
15/07/2017,Ejura,194.3333333,300,156,194.3333333,194.3333333,127
15/08/2017,Ejura,231.3333333,300,313,231.3333333,231.3333333,81
15/09/2017,Ejura,185.6666667,300,200,185.6666667,185.6666667,57
15/10/2017,Ejura,184.2763667,340,140,184.2763667,184.2763667,72.8291
15/11/2017,Ejura,138,180,140,138,138,94
15/12/2017,Ejura,110,100,140,110,110,90
15/01/2018,Ejura,197.9666667,170,340,197.9666667,197.9666667,83.9
15/02/2018,Ejura,133.7321667,170,140.39,133.7321667,133.7321667,90.8065
15/03/2018,Ejura,129.3046333,170,137.7,129.3046333,129.3046333,80.2139
15/07/2018,Ejura,140.6463,170,136.9,140.6463,140.6463,115.0389
15/08/2018,Ejura,142.8614667,183,138.64,142.8614667,142.8614667,106.9444
15/10/2018,Ejura,124.3815333,124,136.9,124.3815333,124.3815333,112.2446
15/11/2018,Ejura,167.2596667,249,141.24,167.2596667,167.2596667,111.539
15/12/2018,Ejura,187.4223667,130.2083,310,187.4223667,187.4223667,122.0588
15/01/2019,Ejura,185.3672667,187,246.33,185.3672667,185.3672667,122.7718
15/02/2019,Ejura,165.6441333,180,192.69,165.6441333,165.6441333,124.2424
15/03/2019,Ejura,160.68415,197.79,160.68415,160.68415,160.68415,123.5783
15/04/2019,Ejura,131.2341,135,131.2341,131.2341,131.2341,127.4682
15/05/2019,Ejura,133.6577,143.8306,133.6577,133.6577,133.6577,123.4848
15/06/2019,Ejura,130.4599,138.9501,130.4599,130.4599,130.4599,121.9697
15/07/2019,Ejura,144.0712,182.6667,144.0712,144.0712,144.0712,105.4757
15/08/2019,Ejura,102.94,145.8883,125.35935,207.38,246.23,104.8304
15/09/2019,Ejura,103.57,145.8883,125.05415,206.06,238.44,104.22
15/10/2019,Ejura,105.51,142.1506,115.9953,206.06,244.69,89.84
15/11/2019,Ejura,108.05,142.8977,118.0393,212.98,244.79,93.1809
15/12/2019,Ejura,104.23,141.1932,115.5165,206.06,244.69,89.8398
15/02/2020,Ejura,143.41,140.391,130.58275,221.69,261.59,120.7745
15/03/2020,Ejura,125.05,142.8977,126.84295,211.49,254.9,110.7882
15/04/2020,Ejura,126.72,142.8977,127.94885,217.19,263.81,113
15/06/2020,Ejura,244.05,140.391,181.0205,434,545,221.65
15/07/2020,Ejura,143.41,140.391,135.2005,221.69,261.59,130.01
15/11/2020,Ejura,163.06,161.1405,161.40525,253.62,295.47,161.67
15/01/2021,Ejura,162.57,181.95,172.19,265.85,307.44,162.43
15/02/2021,Ejura,175.49,168.1992,170.3596,270.63,314.51,172.52
15/03/2021,Ejura,186.65,170,172,280,314.2,182.3
15/04/2021,Ejura,192.3,198.27,197.205,267.68,305.13,196.14
15/01/2010,Techiman,54.84,41.6,69.8,62,67.6,33.2
15/02/2010,Techiman,51.375,42.375,72.5,52.5,57.5,32
15/03/2010,Techiman,52.8,38,75,60,60,31
15/04/2010,Techiman,52.85,39.25,71.75,61,60,32.25
15/05/2010,Techiman,53.18,37.3,71,60.8,60,36.8
15/06/2010,Techiman,58.2,41.75,75,68.25,69.75,36.25
15/07/2010,Techiman,56.5,40.6,75.4,69.8,59.8,36.9
15/08/2010,Techiman,55.801,40.75,75,65.13,61,37.125
15/09/2010,Techiman,57.7,36.875,75,69.25,70,37.375
15/10/2010,Techiman,50.815,38.625,76.5,58.5,54.25,26.2
15/11/2010,Techiman,52.8,43.75,70.5,60,58.75,31
15/12/2010,Techiman,54.25,42.5,74.5,61.75,59.25,33.25
15/01/2011,Techiman,51.80666,35.3333,78.25,57,51.25,37.2
15/02/2011,Techiman,53.84,33.7,82.5,62.75,62.25,28
15/03/2011,Techiman,55.45,40,80,61.75,60,35.5
15/04/2011,Techiman,56.05,42,80.5,58.75,60,39
15/05/2011,Techiman,62.05,42.5,81,68.5,65.25,53
15/06/2011,Techiman,63.25,49.5,72.75,72.75,65,56.25
15/07/2011,Techiman,75.2,56.25,108.25,77.5,75,59
15/08/2011,Techiman,75.6,55.3333,108.75,72.5,73.75,67.6667
15/09/2011,Techiman,74.05,57,97.25,76.5,80,59.5
15/10/2011,Techiman,75.776,57.25,113.38,69.25,80,59
15/11/2011,Techiman,84.316,57.5,139.25,77.5,93.33,54
15/12/2011,Techiman,92.24,70,140,90.5,92.5,68.2
15/01/2012,Techiman,89.35,67,138,87.25,87.5,67
15/02/2012,Techiman,86.55,63,136.5,87.5,86.25,59.5
15/03/2012,Techiman,85.1,63,135,80.5,85,62
15/04/2012,Techiman,93.2,63.5,145.25,95,91.25,71
15/05/2012,Techiman,96.65,65,150,100,91.25,77
15/06/2012,Techiman,97.23,70.8,150,103.25,87.5,74.6
15/07/2012,Techiman,97.15,70.25,153.25,108.75,84.75,68.75
15/08/2012,Techiman,100.8,75,160,117.5,84.75,66.75
15/09/2012,Techiman,105.034,75.75,160,146.67,87.5,55.25
15/10/2012,Techiman,107.15,75.75,160,162.5,87.5,50
15/11/2012,Techiman,110.65,75,160,162.5,105,50.75
15/12/2012,Techiman,101.34,74,160,125,102.5,45.2
15/01/2013,Techiman,102.7,75,170,130,92.5,46
15/02/2013,Techiman,96.7,75,160,105,97.5,46
15/03/2013,Techiman,97.7,75,160,107.5,100,46
15/04/2013,Techiman,97.65,74.5,160,107.75,100,46
15/05/2013,Techiman,96.9,73,160,105.5,100,46
15/06/2013,Techiman,97.1,73,162.5,105,100,45
15/07/2013,Techiman,100.1,74.5,165,110,100,51
15/08/2013,Techiman,100.5,75,170,107.5,100,50
15/09/2013,Techiman,101.7,77,171.25,108.75,102.5,49
15/10/2013,Techiman,104.05,85,176.25,112.5,112.5,34
15/11/2013,Techiman,108.2,85,180,110,120,46
15/12/2013,Techiman,108.65,85,180,106.25,120,52
15/01/2014,Techiman,114.78,85,180,147.5,105,56.4
15/02/2014,Techiman,112.8,85,182.5,145,97.5,54
15/03/2014,Techiman,103.254,83,185,96.67,100,51.6
15/04/2014,Techiman,103,85,185,95,100,50
15/05/2014,Techiman,103,85,185,95,100,50
15/06/2014,Techiman,112,130,185,95,100,50
15/07/2014,Techiman,128,130,185,140,135,50
15/08/2014,Techiman,130,140,185,140,135,50
15/09/2014,Techiman,127.5,140,185,130,132.5,50
15/10/2014,Techiman,131,140,185,140,140,50
15/11/2014,Techiman,130.5,140,185,137.5,140,50
15/12/2014,Techiman,130,140,185,130,145,50
15/01/2015,Techiman,123.2,85,185,148,148,50
15/02/2015,Techiman,151.9,100,270,160,152.5,77
15/03/2015,Techiman,152.2,100,270,156,158,77
15/04/2015,Techiman,148.4,100,260,140,150,92
